Country,Population,Population_Growth,GDP_PerCapita,PrimaryEnrollment_ratio,LifeExpectancy_fem,Fertility,Parliament_fem,EarnedIncome_fem,EarnedIncome,HumanDevelopmentIndex,GenderEmpowermentMeasure,GenderDevelopmentIndex,LaborParticipation
Gabon,1310820,1.5473613,4263.1626,50,57.212002,3.1231999,9.1999998,10374,18024,0.72899997,0.763,0.788643,30
Gambia,1663031,2.8051326,331.93237,108.18525,60.133999,4.7933998,13.2,804,1498,0.47099999,0.8967,0.465,20
Georgia,4432981,-0.90784883,1074.5432,103.3154,74.685997,1.4212,9.3999996,2044,6185,0.76300001,0.39899999,0.6554,53.59999847
Germany,82376448,-0.11277082,24414.672,100.04191,82,1.3200001,31.799999,24138,39600,0.94,0.852,0.93699998,51.97999954
Ghana,23008444,2.0791135,294.29977,98.503517,60.138,3.9466,10.9,1035,1454,0.53299999,0.543321,0.52999997,67.08999634
Greece,11148460,0.39959681,14531.254,99.653786,81.949997,1.39,13,21181,40000,0.94700003,0.69099998,0.94,41.81999969
Guatemala,13028572,2.479001,1809.6422,92.937805,73.515999,4.2416,8.1999998,2160,6557,0.69599998,0.245,0.68199998,47.41999817
Guinea,9181335,1.9652973,406.28952,84.052917,57.153999,5.5176001,19.299999,893,1337,0.42300001,0.6789,0.412,35
Haiti,9445947,1.5970258,405.51373,60,62.203999,3.8,2.4000001,770,1454,0.52100003,0.89654,0.899987,20
Honduras,6968687,1.9500579,1360.3253,99.345886,73.472,3.3053334,23.4,2254,4863,0.71399999,0.58999997,0.708,39.43999863
"Hong Kong, China",6857100,0.64227051,32319.996,90,85.5,0.96600002,22.56,31232,40000,0.94199997,0.10653,0.935,30
Hungary,10071370,-0.15556778,6103.6812,98.453049,77.349998,1.34,10.4,14658,21951,0.87699997,0.58600003,0.875,43.40000153
Iceland,303782,2.3420305,36862.926,98.632599,83,2.0799999,33.299999,29283,40000,0.96799999,0.88099998,0.963,77.75
India,1110000000,1.3816395,637.07611,95.722885,70.15,2.6800001,8.3000002,1185,3698,0.60900003,0.28975,0.59100002,30
Indonesia,223000000,1.1197745,983.43701,96.491318,68.81,2.2207999,11.3,2179,4729,0.72600001,0.44100001,0.71899998,45.91999817
Iran,70097912,1.4525419,2008.4243,70.08859,72.278,2.0567999,4.0999999,5777,14150,0.77700001,0.345,0.76899999,15
Ireland,4260773,2.4151895,31258.846,99.490662,81.800003,1.9,13.3,23295,40000,0.95999998,0.727,0.94400001,53.02999878
Israel,7053700,1.7678059,20513.203,99.51186,82.199997,2.8800001,14.2,19635,29193,0.93000001,0.662,0.12223,55.65999985
Italy,58941500,0.56904131,19795.514,99.194618,83.980003,1.35,17.299999,19168,38878,0.94499999,0.73400003,0.93900001,38.18999863
Jamaica,2663100,0.47802857,3349.271,60,71.87,2.4688001,11.7,4651,8191,0.77100003,0.52600002,0.76700002,20
Japan,127800000,-0.01330573,39911.492,100.42183,85.809998,1.3200001,9.3999996,18334,40000,0.95599997,0.57499999,0.94400001,48.47999954
Jordan,5537600,2.3034875,2190.9517,101.81922,75.18,3.5999999,5.5,2174,6989,0.76899999,0.765489,0.755,11.89999962
Kazakhstan,15308100,1.0579607,2166.321,100.46475,72,2.3599999,10.4,8039,11782,0.80699998,0.52399999,0.80500001,15
Kenya,36553488,2.6460469,441.15527,97.236801,54.549999,4.9671998,7.3000002,1295,1577,0.53200001,0.356728,0.53100002,56.61999893
Korea,48297000,0.32975608,13918.412,96.866905,82.360001,1.13,13.4,15781,30143,0.92799997,0.54000002,0.917,15
Kuwait,2599443.5,2.4927814,23141.822,98.601265,76.92,2.2063999,1.5,16071,40000,0.912,0.456732,0.89099997,55.5
